Angle, TimePerStep, Intensity
46.42,0.5,3
46.44,0.5,5
46.46,0.5,5
46.48,0.5,14
46.5,0.5,6
46.52,0.5,8
46.54,0.5,12
46.56,0.5,11
46.58,0.5,4
46.6,0.5,12
46.62,0.5,11
46.64,0.5,13
46.66,0.5,8
46.68,0.5,11
46.7,0.5,12
46.72,0.5,12
46.74,0.5,17
46.76,0.5,13
46.78,0.5,10
46.8,0.5,12
46.82,0.5,17
46.84,0.5,14
46.86,0.5,18
46.88,0.5,16
46.9,0.5,21
46.92,0.5,23
46.94,0.5,19
46.96,0.5,32
46.98,0.5,35
47,0.5,30
47.02,0.5,42
47.04,0.5,67
47.06,0.5,53
47.08,0.5,77
47.1,0.5,72
47.12,0.5,92
47.14,0.5,144
47.16,0.5,190
47.18,0.5,286
47.2,0.5,373
47.22,0.5,447
47.24,0.5,498
47.26,0.5,598
47.28,0.5,532
47.3,0.5,459
47.32,0.5,393
47.34,0.5,344
47.36,0.5,267
47.38,0.5,275
47.4,0.5,282
47.42,0.5,204
47.44,0.5,126
47.46,0.5,95
47.48,0.5,55
47.5,0.5,35
47.52,0.5,39
47.54,0.5,18
47.56,0.5,23
47.58,0.5,20
47.6,0.5,21
47.62,0.5,13
47.64,0.5,15
47.66,0.5,12
47.68,0.5,13
47.7,0.5,15
47.72,0.5,7
47.74,0.5,12
47.76,0.5,7
47.78,0.5,5
47.8,0.5,6
47.82,0.5,9
47.84,0.5,4
47.86,0.5,14
47.88,0.5,11
47.9,0.5,3
47.92,0.5,10
